,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
MN -- WASECA (County),7,10,17,41,134,80,76,44,25,333,3,2,1,1,94,0,2,0,10,14,13,14,22,65,292,2,1,16,10,24,39,110,140,1,79,8,5,1,0,7,45,293,89,0,324,55,0,55,0,0,434
MN -- WASHINGTON (County),80,156,292,499,1682,1059,766,552,302,4345,78,12,25,45,883,0,16,32,85,147,276,276,321,1040,3185,10,17,46,44,60,210,600,1072,181,1820,355,384,292,307,343,316,3205,1524,0,4164,677,0,547,0,0,5388
MN -- WATONWAN (County),6,7,9,16,50,41,35,27,53,189,1,0,1,2,51,0,0,0,1,6,12,13,12,33,166,1,0,14,8,10,20,70,69,0,51,0,1,1,0,5,30,172,37,0,192,33,0,19,0,0,244
MN -- WILKIN (County),2,5,8,21,39,21,22,23,11,115,0,0,0,2,35,0,0,0,7,1,4,6,4,30,100,0,0,4,6,8,10,39,33,0,47,3,2,0,0,6,15,106,25,0,106,25,0,21,0,0,152
MN -- WINONA (County),16,38,63,104,224,207,140,120,64,775,3,0,4,7,187,0,4,7,13,26,48,50,48,130,646,4,4,33,20,40,95,204,274,11,258,16,16,3,2,56,112,654,154,0,717,151,0,108,0,0,976
MN -- WRIGHT (County),56,129,229,362,1033,540,348,211,94,2402,33,4,15,33,515,0,9,13,41,104,240,212,279,598,1502,4,10,37,25,41,136,390,714,124,1028,144,159,123,71,71,162,2032,737,0,2425,215,0,362,0,0,3002
MN -- YELLOW MEDICINE (County),3,2,8,23,70,32,35,21,15,176,0,0,0,3,30,0,0,0,2,4,7,12,7,39,138,0,0,14,6,10,17,52,57,2,49,1,1,0,0,0,15,164,30,0,164,27,0,18,0,0,209
MO -- ADAIR (County),32,20,20,32,44,58,52,63,76,351,2,0,3,3,38,0,3,3,11,10,16,11,20,64,258,1,0,25,26,28,48,96,77,0,88,3,6,0,0,12,7,321,57,0,372,23,0,2,0,0,397
MO -- ANDREW (County),30,25,35,36,46,53,52,80,96,400,4,0,1,1,47,0,1,2,16,17,28,19,36,67,267,0,3,14,12,9,29,125,112,6,131,6,4,1,1,7,5,382,59,0,436,16,0,1,0,0,453
MO -- ATCHISON (County),9,12,4,12,16,14,18,19,24,112,0,0,0,0,16,0,0,1,2,7,4,5,8,16,85,0,0,5,6,4,11,49,28,0,25,0,0,0,0,1,4,103,20,0,121,7,0,0,0,0,128
MO -- AUDRAIN (County),47,33,33,41,69,71,67,81,106,473,1,1,1,3,69,0,3,5,9,20,13,21,30,67,379,1,2,30,28,37,72,160,92,0,117,5,4,1,0,12,9,480,47,0,520,25,0,3,0,0,548
MO -- BARRY (County),35,15,40,44,34,47,51,70,113,403,5,0,0,1,40,0,1,1,9,6,23,16,27,86,280,0,5,24,10,28,78,131,75,6,84,3,3,0,2,5,3,395,46,0,434,13,0,2,0,0,449
MO -- BARTON (County),16,10,10,16,17,23,23,33,79,203,2,0,0,1,21,0,0,2,6,6,8,7,19,28,151,0,0,17,7,29,38,41,40,0,55,0,0,0,0,2,7,181,37,0,216,9,0,2,0,0,227
MO -- BATES (County),26,16,12,14,31,21,23,26,47,192,2,0,0,0,22,0,0,3,8,3,12,12,11,41,126,0,4,25,9,12,42,53,33,3,32,0,1,1,1,2,2,199,13,0,211,5,0,0,0,0,216
MO -- BENTON (County),87,57,69,99,121,146,188,241,18,896,10,0,3,3,114,0,3,4,8,11,33,35,49,168,714,1,4,72,44,60,201,265,152,0,217,2,7,2,0,18,4,962,42,0,982,42,0,2,0,0,1026
MO -- BOLLINGER (County),10,9,8,13,17,15,25,19,22,122,1,0,0,0,15,0,0,2,2,5,6,9,11,27,76,0,9,8,4,22,28,32,22,0,10,0,0,1,2,0,0,98,40,0,138,0,0,0,0,0,138
MO -- BOONE (County),160,138,156,174,306,316,298,358,574,2142,36,39,17,15,231,0,23,28,90,115,138,146,188,440,1304,8,7,27,31,64,173,397,543,45,904,79,138,41,31,149,18,1663,650,1,2272,199,0,8,0,0,2480
MO -- BUCHANAN (County),164,114,122,146,194,208,211,319,424,1661,33,9,6,6,187,0,9,16,44,56,79,99,118,352,1129,0,6,116,68,119,210,425,440,9,438,17,37,11,6,45,9,1498,350,0,1821,78,0,3,0,0,1902
MO -- BUTLER (County),133,70,64,66,106,79,109,118,160,816,6,8,5,3,67,0,7,11,33,24,40,45,52,176,516,1,10,71,46,65,126,252,121,0,199,4,10,0,1,9,10,711,175,0,875,28,0,2,0,0,905
MO -- CALDWELL (County),15,12,16,14,17,23,24,39,53,192,0,0,0,0,21,0,0,1,6,7,6,10,14,42,127,0,1,18,2,9,21,55,47,0,55,2,2,1,0,3,2,195,13,0,206,5,0,2,0,0,213
MO -- CALLAWAY (County),100,62,51,67,116,108,119,126,210,859,7,2,2,4,85,0,5,14,37,37,44,59,51,173,536,3,1,37,25,32,97,251,223,2,267,9,9,4,2,23,5,790,141,0,919,39,0,1,0,0,959
MO -- CAMDEN (County),72,43,54,61,87,115,105,155,227,785,11,0,1,6,116,0,3,7,13,24,20,28,42,137,643,2,3,26,18,41,102,248,223,1,202,13,19,13,10,8,5,821,85,0,885,34,0,0,0,0,919
MO -- CAPE GIRARDEAU (County),140,74,120,135,207,215,215,264,356,1491,8,14,3,6,204,0,9,17,69,69,98,111,126,281,945,1,5,43,34,59,151,332,428,23,541,36,51,18,5,33,17,1253,423,0,1668,56,0,2,0,0,1726
MO -- CARROLL (County),16,14,13,11,18,29,28,29,49,183,2,2,0,1,19,0,4,1,5,8,10,4,16,36,122,1,0,12,14,21,21,38,44,0,56,1,0,0,0,1,2,173,31,1,199,6,0,1,0,0,207
MO -- CARTER (County),5,5,3,8,8,12,2,21,0,58,0,0,0,0,6,0,0,1,2,2,4,1,7,12,35,0,6,2,15,3,6,11,13,2,6,0,0,0,0,0,0,39,25,0,63,1,0,0,0,0,64
MO -- CASS (County),242,159,201,278,310,343,335,391,524,2447,50,23,4,6,253,0,16,18,92,112,139,176,239,558,1426,7,11,36,39,63,188,481,610,103,989,79,112,44,28,60,17,2001,705,1,2682,95,0,5,0,0,2783
MO -- CEDAR (County),23,16,20,18,27,31,32,53,78,269,2,1,0,2,24,0,3,4,6,8,6,12,10,57,191,1,2,28,18,19,64,62,46,0,57,0,2,0,0,6,4,265,23,0,285,11,0,2,0,0,298
MO -- CHARITON (County),15,13,7,26,23,26,23,23,35,167,0,0,0,1,23,0,1,3,4,4,10,9,10,42,108,0,2,6,5,11,25,43,40,4,54,1,0,0,0,3,2,171,15,0,180,11,0,0,0,0,191
MO -- CHRISTIAN (County),127,109,122,161,187,205,200,275,362,1538,21,3,5,6,175,0,8,16,63,58,98,105,148,341,908,3,1,40,27,47,124,343,411,39,606,26,56,20,8,12,22,1412,302,1,1693,52,0,2,0,0,1748
MO -- CLARK (County),15,5,8,7,7,14,18,26,4,98,2,0,0,0,4,0,0,1,2,2,1,3,6,11,77,1,3,6,5,4,28,30,15,0,12,0,1,0,0,0,2,88,14,0,100,3,0,1,0,0,104
MO -- CLAY (County),490,343,385,479,678,629,580,717,848,4400,129,33,15,33,539,0,34,71,172,222,287,374,437,984,2563,5,12,65,69,126,307,842,1138,130,1752,230,230,152,96,169,26,3105,1849,4,4903,231,0,11,0,0,5149
MO -- CLINTON (County),35,35,32,66,61,40,54,52,110,435,5,0,1,1,43,0,0,6,9,12,19,24,39,104,272,0,2,10,20,15,34,125,147,0,119,6,5,1,1,6,6,403,70,0,466,17,0,2,0,0,485
MO -- COLE (County),104,60,72,86,138,127,169,245,459,1239,15,8,1,5,192,0,7,10,45,59,73,78,90,232,866,0,3,33,30,35,92,327,406,19,423,32,44,7,9,40,4,989,427,0,1405,52,0,3,0,0,1460
MO -- COOPER (County),32,28,28,33,36,48,53,56,105,356,4,2,0,4,53,0,6,8,3,13,28,26,36,64,235,0,1,10,6,12,40,115,100,0,122,6,5,2,0,8,2,381,28,0,400,18,0,1,0,0,419
MO -- CRAWFORD (County),84,59,59,73,98,120,129,120,180,814,1,0,1,2,104,0,3,9,24,13,35,48,69,157,564,0,2,45,31,59,134,301,152,0,192,1,2,1,2,9,6,771,136,0,891,30,0,1,0,0,922
MO -- DADE (County),14,5,9,13,20,20,26,34,19,140,2,0,1,0,17,0,2,2,3,3,4,12,7,28,99,0,2,8,8,11,32,42,26,0,31,0,0,0,0,5,1,133,21,0,148,12,0,0,0,0,160
MO -- DALLAS (County),39,18,27,24,34,43,35,61,73,318,0,0,1,2,33,0,0,7,6,6,19,18,23,62,213,0,2,35,19,36,66,89,47,0,58,0,0,1,1,2,2,310,40,0,346,8,0,0,0,0,354
MO -- DAVIESS (County),12,11,11,10,17,24,31,29,42,157,1,0,1,1,27,0,1,2,1,7,10,8,11,31,116,0,0,13,4,12,19,48,39,0,49,0,2,1,0,2,2,168,15,0,179,8,0,0,0,0,187
MO -- DEKALB (County),18,9,11,10,26,24,24,27,41,169,2,1,0,0,18,0,2,1,3,5,13,9,16,29,112,0,1,8,2,6,26,40,55,0,49,1,2,0,0,6,0,162,22,0,180,10,0,0,0,0,190
MO -- DENT (County),12,13,7,14,24,24,26,39,69,204,3,0,1,1,19,0,0,2,6,5,4,13,22,42,134,0,1,16,16,13,33,65,39,0,43,1,1,0,0,4,0,185,39,0,221,6,0,1,0,0,228
MO -- DOUGLAS (County),17,15,11,11,16,17,22,22,49,164,0,0,1,1,14,0,1,3,3,7,10,8,12,19,117,0,45,12,7,25,28,32,11,0,18,0,1,0,1,2,0,146,32,0,177,3,0,0,0,0,180
MO -- DUNKLIN (County),63,33,34,43,50,61,54,54,49,375,2,20,4,0,40,0,4,7,19,11,23,16,33,69,258,1,1,46,29,29,88,103,59,0,78,6,2,0,0,7,5,329,100,0,425,15,0,1,0,0,441
MO -- FRANKLIN (County),281,157,212,241,326,350,365,514,636,2611,24,4,4,17,422,0,14,38,83,115,159,160,247,567,1697,2,16,81,52,100,250,733,719,66,883,65,72,31,14,73,42,2550,417,0,2909,163,0,10,0,0,3082
MO -- GASCONADE (County),33,26,31,27,41,48,56,72,113,377,1,0,0,2,67,0,0,3,15,15,15,21,27,83,268,0,1,32,11,28,47,108,98,0,116,4,0,2,0,10,6,370,61,0,421,22,0,4,0,0,447
MO -- GENTRY (County),10,4,5,5,8,15,16,13,32,93,0,0,0,0,15,0,0,1,5,2,3,5,4,21,67,0,4,5,2,5,13,32,20,0,26,1,0,0,0,2,2,95,9,0,101,6,0,1,0,0,108
MO -- GREENE (County),543,340,385,502,627,686,713,795,1100,5019,79,16,30,25,522,0,35,71,201,205,286,319,373,978,3216,7,31,194,144,274,657,1276,1237,104,1466,84,117,66,41,152,59,3910,1570,1,5406,269,0,15,0,0,5691
MO -- GRUNDY (County),16,11,15,9,21,17,27,35,64,194,2,0,0,1,18,0,1,2,5,8,8,5,17,37,131,1,1,20,12,14,34,56,31,0,46,0,1,0,0,3,1,187,24,0,206,9,0,0,0,0,215
MO -- HARRISON (County),9,9,13,11,15,23,20,26,44,153,0,0,0,0,17,0,1,1,3,4,9,5,9,27,111,0,1,12,8,8,15,48,35,0,43,0,0,0,0,4,0,142,24,0,163,7,0,0,0,0,170
MO -- HENRY (County),55,27,43,44,66,66,94,77,152,547,8,0,0,2,67,0,2,3,5,16,17,41,54,119,367,0,7,45,15,30,74,166,113,0,167,2,4,1,0,5,6,569,44,0,607,17,0,0,0,0,624
MO -- HICKORY (County),7,7,13,9,17,9,12,11,32,102,0,0,0,0,15,0,1,0,2,2,1,4,7,19,81,0,1,2,3,33,20,27,12,0,17,0,0,2,0,1,0,87,29,0,114,3,0,0,0,0,117
MO -- HOLT (County),4,4,7,8,7,19,16,19,29,109,0,0,0,0,4,0,0,0,1,2,6,7,5,19,73,0,0,9,3,4,5,29,28,0,33,1,0,0,1,4,1,90,18,0,107,6,0,0,0,0,113
MO -- HOWARD (County),26,12,12,11,13,28,23,37,44,170,0,4,0,0,32,0,0,4,8,5,12,11,14,45,107,0,0,6,6,4,31,43,49,6,59,1,1,0,0,6,1,180,19,0,194,11,0,1,0,0,206
MO -- HOWELL (County),85,37,52,61,78,72,100,116,193,709,11,1,0,5,68,0,9,13,17,25,29,53,41,151,456,0,4,64,47,61,137,205,113,0,159,1,1,0,2,9,4,659,122,0,766,26,0,2,0,0,794
MO -- IRON (County),26,12,21,17,26,18,23,29,34,183,2,0,0,0,21,0,1,5,6,6,3,13,16,39,117,0,3,19,6,10,58,55,20,0,34,1,0,0,0,1,3,163,39,0,203,3,0,0,0,0,206
MO -- JACKSON (County),1211,808,903,1058,1397,1339,1513,1652,2141,9025,306,1509,39,81,1062,0,76,135,406,459,650,610,839,2216,6615,16,55,374,278,467,1186,2490,2424,220,3413,305,395,246,169,1046,570,6141,4265,40,10558,1413,0,11,0,0,12022
MO -- JASPER (County),189,114,150,163,224,239,248,267,372,1769,22,3,4,6,162,0,13,21,62,61,100,121,162,352,1073,1,10,102,57,134,265,524,389,5,419,20,32,7,2,39,49,912,966,0,1896,62,0,8,0,0,1966
MO -- JEFFERSON (County),640,413,552,629,825,900,899,1056,1363,6193,90,5,10,47,932,0,37,67,251,282,430,499,549,1417,3743,2,19,118,90,166,478,1456,1991,194,2252,136,228,103,46,137,93,5469,1578,2,6960,302,0,13,0,0,7277
MO -- JOHNSON (County),108,85,76,106,172,182,139,196,256,1145,18,7,7,3,140,0,10,8,38,51,79,72,97,266,698,1,4,23,13,27,92,300,372,8,417,28,22,11,3,19,9,1107,185,0,1277,38,0,5,0,0,1320
MO -- KNOX (County),3,3,3,4,9,4,7,7,16,50,0,0,0,0,6,0,0,0,2,0,2,1,3,10,38,0,0,9,2,3,7,20,2,0,11,2,0,0,0,1,1,46,8,0,53,3,0,0,0,0,56
MO -- LACLEDE (County),58,55,45,76,76,89,101,114,162,690,6,0,4,1,75,0,0,10,18,25,28,39,44,178,434,0,5,55,33,54,130,218,107,9,155,4,4,1,1,6,10,657,103,0,757,19,0,0,0,0,776
MO -- LAFAYETTE (County),53,37,47,52,78,90,91,105,119,571,7,2,1,2,89,0,3,7,28,23,39,35,44,106,385,2,1,24,20,17,55,172,161,8,197,7,8,2,0,14,7,563,88,1,641,29,0,1,0,0,672
MO -- LAWRENCE (County),72,47,50,53,69,77,86,112,145,642,4,0,2,3,60,0,8,7,25,22,29,43,37,114,424,2,5,48,36,50,108,207,115,9,125,1,2,4,1,8,6,609,88,0,688,21,0,2,0,0,711
MO -- LEWIS (County),18,5,15,13,29,18,26,41,35,179,0,1,0,0,20,0,0,1,6,4,7,7,10,31,134,0,1,18,10,12,25,57,42,0,35,0,0,0,0,3,3,169,25,0,190,10,0,0,0,0,200
MO -- LINCOLN (County),190,106,137,156,204,193,216,241,338,1516,11,3,5,9,237,0,13,19,77,83,105,120,128,383,851,2,9,40,22,57,133,349,489,58,512,52,45,10,5,20,15,1413,333,1,1719,58,0,3,0,0,1781
MO -- LINN (County),34,22,13,25,44,33,49,51,32,258,3,0,0,2,40,0,2,6,8,9,12,15,13,50,188,0,0,36,17,10,48,88,41,0,62,0,1,0,0,3,1,280,19,0,291,11,0,1,0,0,303
MO -- LIVINGSTON (County),25,14,13,20,25,29,47,49,81,263,3,0,0,2,35,0,1,5,4,11,15,13,17,41,196,0,0,19,4,20,35,87,63,0,71,0,3,1,0,4,4,250,45,0,290,12,0,1,0,0,303
MO -- MACON (County),37,17,27,20,50,45,58,60,89,358,3,2,0,2,38,0,1,4,8,14,15,16,20,58,267,0,1,39,17,23,53,112,65,0,89,1,2,1,0,4,3,342,54,0,385,14,0,4,0,0,403
MO -- MADISON (County),42,20,20,15,34,40,27,45,70,271,0,0,0,1,41,0,6,2,11,10,13,18,18,68,167,0,0,24,10,40,39,85,42,9,58,2,3,1,0,2,3,252,56,0,301,12,0,0,0,0,313
MO -- MARIES (County),25,10,15,23,31,32,54,61,65,274,1,0,2,3,36,0,2,2,10,13,14,20,21,65,168,1,2,17,11,23,47,95,61,0,56,2,0,1,1,5,1,267,43,0,300,16,0,0,0,0,316
MO -- MARION (County),53,43,41,56,64,67,76,95,164,586,5,1,2,2,63,0,2,6,17,25,23,37,42,92,414,1,1,41,20,41,84,159,163,4,125,8,9,3,1,11,6,553,89,0,623,36,0,0,0,0,659
MO -- MCDONALD (County),34,14,16,24,27,24,21,31,49,207,2,1,1,1,28,0,1,6,7,9,10,7,17,41,141,1,1,19,16,11,68,72,19,0,33,0,1,0,0,3,0,201,36,0,234,6,0,0,0,0,240
MO -- MERCER (County),3,3,3,2,2,5,5,3,3,28,0,0,1,0,0,0,0,0,1,1,1,0,2,4,20,0,1,3,0,1,3,8,6,0,7,0,0,0,0,1,0,24,4,0,27,2,0,0,0,0,29
MO -- MILLER (County),72,25,36,61,62,78,80,89,145,566,5,1,1,2,73,0,2,6,16,25,40,16,48,119,375,1,3,42,25,32,123,167,106,12,124,5,5,4,0,4,5,548,91,0,630,16,0,2,0,0,648
MO -- MISSISSIPPI (County),32,15,14,16,14,17,21,24,36,136,0,43,1,0,9,0,3,1,7,8,10,11,10,32,106,1,6,32,10,17,23,51,21,0,29,0,0,0,0,2,3,151,33,0,186,3,0,0,0,0,189
MO -- MONITEAU (County),17,12,21,14,25,21,34,42,77,222,4,1,0,3,33,0,2,0,9,6,13,13,9,42,169,0,1,8,8,10,34,64,70,0,64,2,1,1,0,3,2,237,21,0,256,7,0,0,0,0,263
MO -- MONROE (County),16,13,16,16,31,35,25,41,51,221,1,0,0,0,22,0,2,0,5,4,8,10,12,45,157,1,1,7,9,14,44,65,47,0,52,1,2,1,1,2,3,203,36,0,234,8,0,2,0,0,244
MO -- MONTGOMERY (County),37,17,16,28,30,41,37,64,81,296,1,1,0,0,53,0,3,1,11,15,9,11,25,68,208,0,0,23,9,15,59,72,88,5,71,2,3,4,0,8,7,281,55,0,328,22,0,1,0,0,351
MO -- MORGAN (County),41,25,39,38,51,77,73,62,105,441,3,0,1,0,66,0,0,3,9,9,22,13,17,99,339,0,3,54,37,33,75,135,70,3,92,2,2,3,2,8,0,451,52,0,492,19,0,0,0,0,511
MO -- NEW MADRID (County),36,19,14,23,33,40,32,39,42,234,5,17,0,1,21,0,1,2,7,7,12,13,18,44,174,0,1,22,24,27,61,45,40,0,56,2,0,0,0,1,4,235,38,0,273,5,0,0,0,0,278
MO -- NEWTON (County),143,69,67,84,132,153,169,264,25,988,14,0,4,2,98,0,6,9,25,34,44,51,76,204,656,1,5,56,33,42,130,335,215,0,254,12,13,9,2,13,10,865,218,0,1071,32,0,3,0,0,1106
MO -- NODAWAY (County),25,14,25,27,28,30,50,60,87,293,0,0,0,1,52,0,4,2,7,7,11,22,10,48,235,0,2,12,11,20,42,95,62,0,93,5,4,0,0,6,3,294,43,0,325,18,0,3,0,0,346
MO -- OREGON (County),4,5,7,5,6,7,11,20,17,76,1,0,0,0,5,0,0,0,2,1,1,4,6,11,56,1,8,10,5,10,19,15,2,0,10,0,0,2,1,0,1,47,34,0,80,0,0,2,0,0,82
MO -- OSAGE (County),16,15,13,18,29,34,47,49,83,222,5,0,0,0,77,0,1,3,12,10,15,17,14,58,174,0,1,10,16,11,29,56,96,0,77,5,2,1,0,6,2,227,69,0,291,13,0,0,0,0,304
MO -- OZARK (County),9,7,3,12,13,16,13,14,30,101,2,0,1,1,12,0,0,0,3,3,3,8,4,16,80,0,1,6,12,11,29,24,11,0,22,0,0,1,0,0,2,103,12,0,115,2,0,0,0,0,117
MO -- PEMISCOT (County),25,13,9,17,20,16,19,19,33,117,4,39,2,0,9,0,2,7,8,5,7,9,11,27,95,0,2,19,6,17,38,43,18,3,23,1,1,0,0,3,9,121,38,0,163,8,0,0,0,0,171
MO -- PERRY (County),53,29,39,37,56,59,53,89,135,462,1,0,0,6,81,0,3,7,24,20,25,31,32,69,337,2,1,21,14,22,66,138,129,0,147,4,6,1,1,8,2,493,47,0,530,19,0,1,0,0,550
MO -- PETTIS (County),127,75,105,157,231,238,260,336,430,1681,18,7,6,18,229,0,2,9,33,33,113,103,156,352,1158,0,1,80,55,80,246,491,423,0,517,24,24,16,2,54,10,1718,177,0,1880,76,0,3,0,0,1959
MO -- PHELPS (County),143,74,99,115,176,171,230,272,371,1457,10,0,5,9,170,0,6,13,35,37,88,89,113,288,981,1,8,61,48,80,141,394,325,32,506,23,19,11,3,36,5,1340,270,0,1596,54,0,1,0,0,1651
MO -- PIKE (County),36,23,16,26,35,41,52,60,88,327,4,1,0,2,43,0,0,2,7,12,8,21,25,61,241,0,3,14,15,25,56,104,64,0,89,4,2,1,0,4,2,326,45,0,363,13,0,1,0,0,377
MO -- PLATTE (County),145,117,136,218,309,283,298,302,393,1863,53,18,12,17,238,0,12,20,63,81,116,160,171,444,1131,3,2,19,13,28,84,261,459,58,806,121,154,106,90,80,12,1503,606,0,2085,113,0,3,0,0,2201
MO -- POLK (County),41,34,27,56,71,79,74,93,122,526,5,1,1,1,63,0,2,8,12,17,44,31,39,121,323,0,1,31,19,31,97,170,87,15,136,3,5,2,0,5,6,488,98,0,573,21,0,3,0,0,597
MO -- PULASKI (County),199,124,99,139,181,186,174,175,233,1258,55,29,10,9,149,0,14,20,40,53,71,92,152,451,617,0,6,35,30,45,150,365,332,21,465,22,33,6,0,17,4,1261,228,0,1476,32,0,2,0,0,1510
MO -- PUTNAM (County),8,5,6,8,17,11,11,9,27,87,1,0,0,0,14,0,0,0,5,2,2,5,4,16,68,0,0,14,2,3,8,24,16,0,33,0,1,0,1,3,1,81,17,0,97,5,0,0,0,0,102
MO -- RALLS (County),23,13,20,28,31,28,38,49,70,267,0,0,2,1,30,0,0,2,7,7,16,14,19,45,190,0,0,19,13,11,33,67,84,0,63,7,2,1,0,3,7,263,27,0,285,12,0,3,0,0,300
MO -- RANDOLPH (County),51,43,35,56,58,39,62,73,91,447,6,1,2,3,49,0,2,5,11,21,20,26,30,105,288,0,1,29,23,29,75,153,93,0,98,0,6,1,0,11,9,434,54,0,476,26,0,6,0,0,508
MO -- RAY (County),59,34,43,47,50,66,69,71,107,482,11,0,2,1,50,0,1,6,20,19,33,31,31,92,313,0,2,17,15,20,54,142,136,17,122,10,10,0,1,4,4,463,75,0,533,12,0,1,0,0,546
MO -- REYNOLDS (County),15,11,6,9,10,11,19,26,38,130,1,1,0,1,12,0,2,0,4,2,6,6,12,18,90,5,2,20,5,13,36,26,19,0,23,0,1,0,0,3,0,119,23,0,140,5,0,0,0,0,145
MO -- RIPLEY (County),14,7,9,14,16,16,17,22,34,138,1,0,0,0,10,0,0,2,0,4,6,8,13,24,92,0,6,6,7,23,37,34,10,0,23,3,0,0,0,1,1,63,84,0,144,4,0,1,0,0,149
MO -- SALINE (County),76,42,59,82,93,86,111,135,218,775,18,5,2,4,98,0,2,4,11,14,73,43,63,144,548,0,5,32,37,49,120,224,172,0,246,11,5,1,0,23,3,781,95,0,856,45,0,1,0,0,902
MO -- SCHUYLER (County),2,7,3,4,5,4,5,7,7,40,1,0,0,0,3,0,0,0,1,0,1,2,1,7,32,0,0,3,1,1,9,19,8,0,3,0,0,0,0,0,0,37,7,0,42,2,0,0,0,0,44
MO -- SCOTLAND (County),5,0,2,2,7,7,5,8,14,48,0,0,0,0,2,0,1,0,2,3,0,1,3,8,32,0,1,1,2,6,5,17,9,0,9,0,0,0,0,1,1,31,17,0,48,2,0,0,0,0,50
MO -- SCOTT (County),98,44,49,80,71,90,82,117,161,663,3,40,0,2,84,0,5,12,28,28,34,40,50,150,445,0,7,42,23,60,100,246,141,0,156,9,7,1,0,4,10,609,169,0,771,18,0,3,0,0,792
MO -- SHANNON (County),7,3,3,7,10,8,6,13,14,65,0,0,0,0,6,0,0,3,2,1,6,1,4,15,39,0,2,1,0,13,11,23,9,0,11,1,0,0,0,0,0,41,30,0,70,1,0,0,0,0,71
MO -- SHELBY (County),15,2,6,14,19,18,23,29,33,148,1,1,0,0,9,0,0,0,6,2,6,4,14,20,106,1,0,8,10,9,33,45,23,0,30,1,0,0,0,3,1,143,12,0,154,5,0,0,0,0,159
MO -- ST. CHARLES (County),606,696,769,1057,1436,1525,1526,1718,2431,9795,157,68,40,95,1609,0,67,125,382,525,684,776,857,2221,6120,7,22,89,82,115,359,1333,2361,431,4627,685,824,523,313,396,71,7136,4161,2,11178,544,0,40,0,0,11764
MO -- ST. CLAIR (County),23,7,19,19,26,29,25,30,54,209,1,0,0,2,20,0,1,2,5,6,7,6,17,48,140,0,1,22,4,16,60,55,32,0,37,3,1,0,1,1,1,189,41,0,226,6,0,0,0,0,232
MO -- ST. FRANCOIS (County),162,115,127,152,163,143,172,212,245,1316,9,4,4,7,151,0,4,17,49,48,65,79,109,289,828,3,9,130,76,101,229,399,225,0,298,12,8,1,3,22,22,1235,212,0,1426,61,0,4,0,0,1491
MO -- ST. LOUIS (County),1781,1189,1360,1756,2476,2659,2905,3476,4867,15441,308,3404,121,246,2949,0,118,225,690,752,1139,1164,1259,3796,13297,29,66,355,293,546,1516,3561,4404,421,6664,985,1298,1063,1297,864,1766,10339,9500,3,20940,1484,0,42,0,0,22469
MO -- ST. LOUIS CITY (County),479,234,249,264,311,340,392,540,775,2090,55,1021,19,32,367,0,10,48,183,177,235,196,180,670,1882,3,47,190,134,223,506,873,639,35,745,51,72,31,38,132,878,755,1819,0,3362,218,0,4,0,0,3584
MO -- STE GENEVIEVE (County),60,32,34,55,80,76,72,86,97,479,3,1,2,2,105,0,2,4,16,23,26,24,36,129,332,0,5,32,25,34,60,114,170,0,144,3,4,0,1,18,12,491,71,0,553,35,0,4,0,0,592
MO -- STODDARD (County),67,34,42,43,67,59,75,97,103,536,2,1,0,0,48,0,2,13,17,21,24,32,27,115,336,0,4,52,25,45,117,144,91,0,103,3,3,0,0,6,2,472,107,0,574,12,0,1,0,0,587
MO -- STONE (County),57,42,40,49,76,83,97,116,151,636,8,0,2,6,59,0,3,7,11,13,22,22,34,94,505,0,5,25,20,19,91,206,133,0,177,9,14,8,4,7,7,625,72,0,690,17,0,4,0,0,711
MO -- SULLIVAN (County),15,4,6,14,14,11,8,21,23,106,1,0,0,0,9,0,0,1,2,2,2,6,6,16,81,0,0,18,8,8,10,28,15,0,28,0,1,0,0,0,1,105,10,0,115,1,0,0,0,0,116
